Date,Close,Predictions
2020-10-29,919.08,927.2377
2020-10-30,925.47,921.9021
2020-11-02,933.68,928.9541
2020-11-03,935.41,939.4986
2020-11-04,939.76,943.3744
2020-11-05,937.75,947.7892
2020-11-06,938.29,945.86414
2020-11-09,951.99,945.33514
2020-11-10,951.9,958.2304
2020-11-11,952.22,959.85925
2020-11-12,959.28,959.5643
2020-11-13,966.29,965.84485
2020-11-16,950.79,973.3145
2020-11-17,968.9,958.52167
2020-11-18,973.53,973.7503
2020-11-19,983.26,980.8682
2020-11-20,990.0,991.07544
2020-11-23,994.19,998.4623
2020-11-24,995.76,1002.56854
2020-11-25,999.94,1003.5949
2020-11-26,1005.97,1007.1138
2020-11-27,1010.22,1013.13904
2020-11-30,1003.08,1017.729
2020-12-01,1008.87,1010.434
2020-12-02,1014.32,1015.12744
2020-12-03,1019.8,1021.31964
2020-12-04,1021.49,1027.5192
2020-12-07,1029.98,1029.5227
2020-12-08,1029.26,1037.9082
2020-12-09,1039.13,1037.4242
2020-12-10,1030.91,1046.8967
2020-12-11,1045.96,1038.6843
2020-12-14,1064.09,1052.9889
2020-12-15,1055.27,1073.0889
2020-12-16,1066.99,1064.5887
2020-12-17,1051.77,1074.8469
2020-12-18,1067.46,1058.7678
2020-12-21,1081.08,1073.6299
2020-12-22,1083.45,1089.431
2020-12-23,1078.9,1092.5823
2020-12-24,1067.52,1086.8062
2020-12-25,1084.42,1073.4252
2020-12-28,1091.33,1090.615
2020-12-29,1099.49,1099.5885
2020-12-30,1097.54,1108.5583
2020-12-31,1103.87,1106.0469
2021-01-04,1120.47,1111.7372
2021-01-05,1132.55,1129.3745
2021-01-06,1143.21,1142.53
2021-01-07,1156.49,1153.2684
2021-01-08,1167.69,1166.4797
2021-01-11,1184.89,1177.3988
2021-01-12,1192.28,1194.9646
2021-01-13,1186.05,1201.59
2021-01-14,1187.4,1192.6339
2021-01-15,1194.2,1192.9373
2021-01-18,1191.94,1200.4901
2021-01-19,1131.0,1198.0922
2021-01-20,1134.68,1129.3378
2021-01-21,1164.21,1135.1987
2021-01-22,1166.78,1171.7312
2021-01-25,1166.05,1177.4373
2021-01-26,1136.12,1176.2128
2021-01-27,1097.17,1141.2002
2021-01-28,1023.94,1097.0947
2021-01-29,1056.61,1018.3534
2021-02-01,1035.51,1054.7898
2021-02-02,1075.53,1039.8517
2021-02-03,1111.29,1084.3542
2021-02-04,1112.19,1126.8082
2021-02-05,1126.91,1127.7039
2021-02-08,1083.18,1139.1642
2021-02-09,1114.93,1087.9598
2021-02-17,1155.78,1118.5596
2021-02-18,1174.38,1165.2302
2021-02-19,1173.5,1186.7815
2021-02-22,1175.04,1183.2269
2021-02-23,1177.64,1181.664
2021-02-24,1162.01,1182.7947
2021-02-25,1165.43,1164.6919
2021-02-26,1168.47,1168.9952
2021-03-01,1186.17,1173.7832
2021-03-02,1186.61,1194.8258
2021-03-03,1186.95,1195.5466
2021-03-04,1168.52,1195.0204
2021-03-05,1168.69,1173.2463
2021-03-08,1168.27,1173.3945
2021-03-09,1161.97,1173.8066
2021-03-10,1170.08,1167.5956
2021-03-11,1181.73,1177.3324
2021-03-12,1181.56,1190.8387
