Date,Open,High,Low,Close,Volume,Open Interest
1/4/2016 0:00,579.03,579.97,573.15,574.41,9.59E+07,41926
1/5/2016 0:00,571.66,575.4,569.26,569.94,9.80E+07,42607
1/6/2016 0:00,569.5,574.57,569.5,574.57,8.23E+07,37738
1/7/2016 0:00,570.62,570.94,561.09,565.36,1.41E+08,59811
1/8/2016 0:00,562.62,563.17,556.36,560.05,1.34E+08,51162
1/11/2016 0:00,559.05,563.04,557.51,557.87,1.01E+08,40150
1/12/2016 0:00,557.36,564.26,557.36,564.26,1.02E+08,42236
1/13/2016 0:00,565.21,566.02,560.37,560.37,1.16E+08,44968
1/14/2016 0:00,555.88,556.62,550.6,553.03,1.29E+08,48577
1/15/2016 0:00,554.35,556.55,543.04,543.04,1.19E+08,44476
1/18/2016 0:00,532.54,532.54,518.16,526.37,1.55E+08,63801
1/19/2016 0:00,525.65,535.77,525.65,535.77,1.13E+08,44931
1/20/2016 0:00,532.81,536.57,529.42,529.44,1.10E+08,43603
1/21/2016 0:00,529.44,531.21,520.74,521.88,1.40E+08,54097
1/22/2016 0:00,525.35,525.83,513.82,522.24,1.59E+08,59521
1/25/2016 0:00,530.58,542.36,522.24,542.35,1.42E+08,54794
1/26/2016 0:00,534.06,542.98,531.27,537.73,1.29E+08,50971
1/27/2016 0:00,541.18,543.88,540.03,542.69,1.14E+08,44100
1/28/2016 0:00,542.01,544.73,538.59,539.47,1.08E+08,44052
1/29/2016 0:00,539.96,545.71,537.51,545.25,9.88E+07,40805
2/1/2016 0:00,545.27,548.58,540.56,540.56,9.15E+07,39090
2/2/2016 0:00,537.71,542.26,535.38,536.45,8.21E+07,33942
2/3/2016 0:00,531.11,539.07,530.23,539.07,7.25E+07,31314
2/4/2016 0:00,542.91,545.17,541.66,542.15,5.90E+07,25423
2/5/2016 0:00,540.64,545.54,540.64,544.75,5.89E+07,23762
2/15/2016 0:00,540.13,544.59,537.81,543.79,6.37E+07,29034
2/16/2016 0:00,545.72,548.89,545.72,548.05,1.01E+08,42622
2/17/2016 0:00,551.38,552.38,547.05,547.05,1.08E+08,46939
2/18/2016 0:00,550.51,555.05,549.16,552.49,1.05E+08,46250
2/19/2016 0:00,552.37,555.16,551.38,554.03,1.77E+08,60850
2/22/2016 0:00,555.31,561.44,555.31,560.71,1.46E+08,59330
2/23/2016 0:00,564.75,567.58,561.09,561.28,1.51E+08,62549
2/24/2016 0:00,559.48,569.7,557.77,568.04,1.50E+08,61337
2/25/2016 0:00,571.15,573.63,562.82,562.82,1.29E+08,54250
2/26/2016 0:00,565.61,566.8,562.39,566.11,9.63E+07,43647
2/29/2016 0:00,565.61,566.31,559.37,559.37,1.17E+08,52105
3/1/2016 0:00,560.03,565.65,560.03,561.56,1.15E+08,50386
3/2/2016 0:00,564.85,570.18,562.97,570.18,1.40E+08,59632
3/3/2016 0:00,573.06,573.88,569.39,570.39,1.22E+08,53311
3/4/2016 0:00,570.18,576.02,568.83,573.65,1.31E+08,54757
3/7/2016 0:00,575.76,580.95,575.39,576.2,1.55E+08,63779
3/8/2016 0:00,576.75,579.87,574.53,574.71,1.41E+08,57712
3/9/2016 0:00,573.47,576.32,571.48,571.71,1.19E+08,50292
3/10/2016 0:00,574.07,575.91,571.52,575.91,1.18E+08,50799
3/11/2016 0:00,576.12,580.93,574.81,577.26,1.34E+08,58711
3/14/2016 0:00,579.61,579.84,576.26,577.98,1.22E+08,52250
3/15/2016 0:00,577.98,578.96,572.59,574.04,1.39E+08,58767
3/16/2016 0:00,573.88,577.96,573.37,577.07,1.39E+08,54892
3/17/2016 0:00,581.55,583.53,579.26,579.26,1.39E+08,56871
3/18/2016 0:00,579.95,580.81,575.44,575.82,1.74E+08,57325
3/21/2016 0:00,577.65,580.83,572.27,572.27,1.43E+08,57611
3/22/2016 0:00,572.27,573.8,567.8,570.91,1.23E+08,52864
3/23/2016 0:00,570.74,575.22,570.39,574.71,1.30E+08,51950
3/24/2016 0:00,573.93,577.21,570.66,570.66,1.40E+08,56750
3/25/2016 0:00,569.48,572.48,564.88,572.08,1.32E+08,55783
